Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position
simple,ingot-9000-peach-watermelon,Alibarbar Ingot 9000 Puffs — Peach Watermelon,1,0,visible,"The Alibarbar Ingot Peach Watermelon layers lush orchard peach with juicy watermelon and a playful soda-style finish — bold, sweet, and refreshingly smooth from start to finish.","<p>The Alibarbar Ingot 9000 Puffs is a high-quality disposable vape designed for users who want reliability, flavour, and extended use in one sleek device. Offering up to 9000 puffs per unit, this disposable vape is ideal for adult users seeking a long-lasting option without the hassle of refilling or charging.</p><p>With a generous 22ml e-liquid capacity and a strong 2350mAh built-in battery, the Alibarbar Ingot provides consistent vapour production from start to finish. This non-rechargeable disposable vape is inhale-activated, making it simple and convenient to use straight out of the box. Its advanced internal design ensures smooth draws and rich flavour delivery throughout the life of the device.</p><p>Perfect for those searching for high puff disposable vapes, Alibarbar Ingot flavours, or a dependable disposable vape in Australia, the Alibarbar Ingot 9000 Puffs combines performance with a clean, modern design. Whether for everyday use or as a reliable backup device, it delivers a premium vaping experience with no complications.</p><p>Peach Watermelon pairs lush orchard peach with chilled watermelon and a bright sparkling soda-style lift — sweet, juicy, and unmistakably tropical from the first draw to the last.</p><h3>What&apos;s in the box</h3><ul><li>1 × ALIBARBAR Ingot disposable vape device</li><li>Net weight: 90g</li><li>Pre-charged and inhale-activated — ready to use out of the box</li><li>Delivers up to 9000+ puffs per device</li><li>Built-in LED display for monitoring battery level and e-liquid usage</li></ul>",,,taxable,,1,999,no,0,0.09,,,,1,,,26,Disposable Vapes > Alibarbar Ingot,"Alibarbar, Ingot 9000, Fruity, Peach Watermelon",,flavor-peach-watermelon.png,,,,,,,,,0
simple,ingot-9000-blackberry-ice,Alibarbar Ingot 9000 Puffs — Blackberry Ice,1,0,visible,"The Alibarbar Ingot Blackberry Ice combines the rich, juicy taste of ripe blackberries with a crisp icy twist. This refreshing fusion delivers a smooth, cooling sensation, making it an ideal choice for anyone who enjoys fruity flavours with a cool menthol edge.","<p>The Alibarbar Ingot 9000 Puffs is a high-quality disposable vape designed for users who want reliability, flavour, and extended use in one sleek device. Offering up to 9000 puffs per unit, this disposable vape is ideal for adult users seeking a long-lasting option without the hassle of refilling or charging.</p><p>With a generous 22ml e-liquid capacity and a strong 2350mAh built-in battery, the Alibarbar Ingot provides consistent vapour production from start to finish. This non-rechargeable disposable vape is inhale-activated, making it simple and convenient to use straight out of the box. Its advanced internal design ensures smooth draws and rich flavour delivery throughout the life of the device.</p><p>Perfect for those searching for high puff disposable vapes or a dependable everyday device, the Alibarbar Ingot 9000 Puffs combines performance with a clean, modern design.</p><h3>What&apos;s in the box</h3><ul><li>1 × ALIBARBAR Ingot disposable vape device</li><li>Net weight: 90g</li><li>Pre-charged and inhale-activated — ready to use out of the box</li><li>Delivers up to 9000+ puffs per device</li><li>Built-in LED display for monitoring battery level and e-liquid usage</li></ul>",,,taxable,,1,999,no,0,0.09,,,,1,,,26,Disposable Vapes > Alibarbar Ingot,"Alibarbar, Ingot 9000, Iced, Blackberry Ice",,flavor-blackberry.png,,,,,,,,,1
simple,ingot-9000-mango-magic,Alibarbar Ingot 9000 Puffs — Mango Magic,1,0,visible,"The Alibarbar Ingot Mango Magic delivers ripe, juicy mango sweetness with a smooth, luscious finish, creating a bold and tropical vape experience you'll love.","<p>The Alibarbar Ingot 9000 Puffs is a high-quality disposable vape designed for users who want reliability, flavour, and extended use in one sleek device. Offering up to 9000 puffs per unit, this disposable vape is ideal for adult users seeking a long-lasting option without the hassle of refilling or charging.</p><p>With a generous 22ml e-liquid capacity and a strong 2350mAh built-in battery, the Alibarbar Ingot provides consistent vapour production from start to finish. This non-rechargeable disposable vape is inhale-activated, making it simple and convenient to use straight out of the box. Its advanced internal design ensures smooth draws and rich flavour delivery throughout the life of the device.</p><p>Perfect for those searching for high puff disposable vapes, Alibarbar Ingot flavours, or a dependable disposable vape in Australia, the Alibarbar Ingot 9000 Puffs combines performance with a clean, modern design. Whether for everyday use or as a reliable backup device, it delivers a premium vaping experience with no complications.</p><h3>What&apos;s in the box</h3><ul><li>1 × ALIBARBAR Ingot disposable vape device</li><li>Net weight: 90g</li><li>Pre-charged and inhale-activated — ready to use out of the box</li><li>Delivers up to 9000+ puffs per device</li><li>Built-in LED display for monitoring battery level and e-liquid usage</li></ul>",,,taxable,,1,999,no,0,0.09,,,,1,,,26,Disposable Vapes > Alibarbar Ingot,"Alibarbar, Ingot 9000, Tropical, Mango Magic",,flavor-mango.png,,,,,,,,,2
simple,ingot-9000-california-sunset,Alibarbar Ingot 9000 Puffs — California Sunset,1,0,visible,"The Alibarbar Ingot California Sunset delivers a burst of bright citrus fizz with sweet orange soda notes, creating a bold, refreshing vape experience inspired by classic Fanta.","<p>The Alibarbar Ingot 9000 Puffs is a high-quality disposable vape designed for users who want reliability, flavour, and extended use in one sleek device. Offering up to 9000 puffs per unit, this disposable vape is ideal for adult users seeking a long-lasting option without the hassle of refilling or charging.</p><p>With a generous 22ml e-liquid capacity and a strong 2350mAh built-in battery, the Alibarbar Ingot provides consistent vapour production from start to finish. This non-rechargeable disposable vape is inhale-activated, making it simple and convenient to use straight out of the box. Its advanced internal design ensures smooth draws and rich flavour delivery throughout the life of the device.</p><p>Perfect for those searching for high puff disposable vapes, Alibarbar Ingot flavours, or a dependable disposable vape in Australia, the Alibarbar Ingot 9000 Puffs combines performance with a clean, modern design. Whether for everyday use or as a reliable backup device, it delivers a premium vaping experience with no complications.</p><h3>What&apos;s in the box</h3><ul><li>1 × ALIBARBAR Ingot disposable vape device</li><li>Net weight: 90g</li><li>Pre-charged and inhale-activated — ready to use out of the box</li><li>Delivers up to 9000+ puffs per device</li><li>Built-in LED display for monitoring battery level and e-liquid usage</li></ul>",,,taxable,,1,999,no,0,0.09,,,,1,,,26,Disposable Vapes > Alibarbar Ingot,"Alibarbar, Ingot 9000, Citrus, California Sunset",,flavor-california.png,,,,,,,,,3
simple,ingot-9000-strawberry-coconut-watermelon,Alibarbar Ingot 9000 Puffs — Strawberry Coconut Watermelon,1,0,visible,"The Alibarbar Ingot Strawberry Coconut Watermelon blends ripe strawberry, silky coconut cream, and juicy watermelon — lush, tropical, and refreshingly smooth from start to finish.","<p>The Alibarbar Ingot 9000 Puffs is a high-quality disposable vape designed for users who want reliability, flavour, and extended use in one sleek device. Offering up to 9000 puffs per unit, this disposable vape is ideal for adult users seeking a long-lasting option without the hassle of refilling or charging.</p><p>With a generous 22ml e-liquid capacity and a strong 2350mAh built-in battery, the Alibarbar Ingot provides consistent vapour production from start to finish. This non-rechargeable disposable vape is inhale-activated, making it simple and convenient to use straight out of the box. Its advanced internal design ensures smooth draws and rich flavour delivery throughout the life of the device.</p><p>Perfect for those searching for high puff disposable vapes, Alibarbar Ingot flavours, or a dependable disposable vape in Australia, the Alibarbar Ingot 9000 Puffs combines performance with a clean, modern design. Whether for everyday use or as a reliable backup device, it delivers a premium vaping experience with no complications.</p><p>Strawberry Coconut Watermelon layers jammy ripened strawberry with creamy coconut and chilled watermelon — tropical, bright, and lush from the first puff to the last.</p><h3>What&apos;s in the box</h3><ul><li>1 × ALIBARBAR Ingot disposable vape device</li><li>Net weight: 90g</li><li>Pre-charged and inhale-activated — ready to use out of the box</li><li>Delivers up to 9000+ puffs per device</li><li>Built-in LED display for monitoring battery level and e-liquid usage</li></ul>",,,taxable,,1,999,no,0,0.09,,,,1,,,26,Disposable Vapes > Alibarbar Ingot,"Alibarbar, Ingot 9000, Tropical, Strawberry Coconut Watermelon",,flavor-strawberry-coconut-watermelon.png,,,,,,,,,4
simple,ingot-9000-grape-ice,Alibarbar Ingot 9000 Puffs — Grape Ice,1,0,visible,"The Alibarbar Ingot Blueberry Blast delivers a bold and juicy burst of ripe blueberry flavour, perfectly balanced with a refreshing finish. This smooth and satisfying blend is ideal for those who enjoy a vibrant and fruity vaping experience.","<p>The Alibarbar Ingot 9000 Puffs is a high-quality disposable vape designed for users who want reliability, flavour, and extended use in one sleek device. Offering up to 9000 puffs per unit, this disposable vape is ideal for adult users seeking a long-lasting option without the hassle of refilling or charging.</p><p>With a generous 22ml e-liquid capacity and a strong 2350mAh built-in battery, the Alibarbar Ingot provides consistent vapour production from start to finish. This non-rechargeable disposable vape is inhale-activated, making it simple and convenient to use straight out of the box. Its advanced internal design ensures smooth draws and rich flavour delivery throughout the life of the device.</p><p>Perfect for those searching for high puff disposable vapes, Alibarbar Ingot flavours, or a dependable disposable vape in Australia, the Alibarbar Ingot 9000 Puffs combines performance with a clean, modern design. Whether for everyday use or as a reliable backup device, it delivers a premium vaping experience with no complications.</p><h3>What&apos;s in the box</h3><ul><li>1 × ALIBARBAR Ingot disposable vape device</li><li>Net weight: 90g</li><li>Pre-charged and inhale-activated — ready to use out of the box</li><li>Delivers up to 9000+ puffs per device</li><li>Built-in LED display for monitoring battery level and e-liquid usage</li></ul>",,,taxable,,1,999,no,0,0.09,,,,1,,,26,Disposable Vapes > Alibarbar Ingot,"Alibarbar, Ingot 9000, Iced, Grape Ice",,flavor-grape.png,,,,,,,,,5
simple,ingot-9000-rainbow-candy,Alibarbar Ingot 9000 Puffs — Rainbow Candy,1,0,visible,"The Alibarbar Ingot Rainbow Candy layers vivid rainbow candy sweetness with a playful sparkle — bold colour, smooth vapour, fun from the first puff.","<p>The Alibarbar Ingot 9000 Puffs is a high-quality disposable vape designed for users who want reliability, flavour, and extended use in one sleek device. Offering up to 9000 puffs per unit, this disposable vape is ideal for adult users seeking a long-lasting option without the hassle of refilling or charging.</p><p>With a generous 22ml e-liquid capacity and a strong 2350mAh built-in battery, the Alibarbar Ingot provides consistent vapour production from start to finish. This non-rechargeable disposable vape is inhale-activated, making it simple and convenient to use straight out of the box. Its advanced internal design ensures smooth draws and rich flavour delivery throughout the life of the device.</p><p>Perfect for those searching for high puff disposable vapes, Alibarbar Ingot flavours, or a dependable disposable vape in Australia, the Alibarbar Ingot 9000 Puffs combines performance with a clean, modern design. Whether for everyday use or as a reliable backup device, it delivers a premium vaping experience with no complications.</p><p>Rainbow Candy delivers a vivid rainbow candy medley — bright, playful sweetness layered over smooth vapour for a fun finish every time you inhale.</p><h3>What&apos;s in the box</h3><ul><li>1 × ALIBARBAR Ingot disposable vape device</li><li>Net weight: 90g</li><li>Pre-charged and inhale-activated — ready to use out of the box</li><li>Delivers up to 9000+ puffs per device</li><li>Built-in LED display for monitoring battery level and e-liquid usage</li></ul>",,,taxable,,1,999,no,0,0.09,,,,1,,,26,Disposable Vapes > Alibarbar Ingot,"Alibarbar, Ingot 9000, Sweet, Rainbow Candy",,flavor-rainbow-candy.png,,,,,,,,,6
simple,ingot-9000-strawberry-watermelon,Alibarbar Ingot 9000 Puffs — Strawberry Watermelon,1,0,visible,"The Alibarbar Ingot Strawberry Watermelon combines ripe strawberry punch with chilled watermelon juice — splashy, sweet, and refreshingly smooth.","<p>The Alibarbar Ingot 9000 Puffs is a high-quality disposable vape designed for users who want reliability, flavour, and extended use in one sleek device. Offering up to 9000 puffs per unit, this disposable vape is ideal for adult users seeking a long-lasting option without the hassle of refilling or charging.</p><p>With a generous 22ml e-liquid capacity and a strong 2350mAh built-in battery, the Alibarbar Ingot provides consistent vapour production from start to finish. This non-rechargeable disposable vape is inhale-activated, making it simple and convenient to use straight out of the box. Its advanced internal design ensures smooth draws and rich flavour delivery throughout the life of the device.</p><p>Perfect for those searching for high puff disposable vapes, Alibarbar Ingot flavours, or a dependable disposable vape in Australia, the Alibarbar Ingot 9000 Puffs combines performance with a clean, modern design. Whether for everyday use or as a reliable backup device, it delivers a premium vaping experience with no complications.</p><p>Strawberry Watermelon pairs jam-packed berry sweetness with chilled, juicy watermelon — refreshing, splashy, and smooth from the first puff to the last.</p><h3>What&apos;s in the box</h3><ul><li>1 × ALIBARBAR Ingot disposable vape device</li><li>Net weight: 90g</li><li>Pre-charged and inhale-activated — ready to use out of the box</li><li>Delivers up to 9000+ puffs per device</li><li>Built-in LED display for monitoring battery level and e-liquid usage</li></ul>",,,taxable,,1,999,no,0,0.09,,,,1,,,26,Disposable Vapes > Alibarbar Ingot,"Alibarbar, Ingot 9000, Fruity, Strawberry Watermelon",,flavor-strawberry-watermelon.png,,,,,,,,,7
simple,ingot-9000-blueberry-blast,Alibarbar Ingot 9000 Puffs — Blueberry Blast,1,0,visible,"The Alibarbar Ingot Blueberry Blast delivers a bold and juicy burst of ripe blueberry flavour, perfectly balanced with a refreshing finish — vibrant, smooth, and built for all-day flavour.","<p>The Alibarbar Ingot 9000 Puffs is a high-quality disposable vape designed for users who want reliability, flavour, and extended use in one sleek device. Offering up to 9000 puffs per unit, this disposable vape is ideal for adult users seeking a long-lasting option without the hassle of refilling or charging.</p><p>With a generous 22ml e-liquid capacity and a strong 2350mAh built-in battery, the Alibarbar Ingot provides consistent vapour production from start to finish. This non-rechargeable disposable vape is inhale-activated, making it simple and convenient to use straight out of the box. Its advanced internal design ensures smooth draws and rich flavour delivery throughout the life of the device.</p><p>Perfect for those searching for high puff disposable vapes, Alibarbar Ingot flavours, or a dependable disposable vape in Australia, the Alibarbar Ingot 9000 Puffs combines performance with a clean, modern design. Whether for everyday use or as a reliable backup device, it delivers a premium vaping experience with no complications.</p><p>Blueberry Blast fires off bold, ripe blueberry with an icy splash of mint-fresh cool — vibrant, juicy, and satisfyingly crisp on the exhale.</p><h3>What&apos;s in the box</h3><ul><li>1 × ALIBARBAR Ingot disposable vape device</li><li>Net weight: 90g</li><li>Pre-charged and inhale-activated — ready to use out of the box</li><li>Delivers up to 9000+ puffs per device</li><li>Built-in LED display for monitoring battery level and e-liquid usage</li></ul>",,,taxable,,1,999,no,0,0.09,,,,1,,,26,Disposable Vapes > Alibarbar Ingot,"Alibarbar, Ingot 9000, Iced, Blueberry Blast",,flavor-blueberry-blast.png,,,,,,,,,8
simple,ingot-9000-strawberry-ice,Alibarbar Ingot 9000 Puffs — Strawberry Ice,1,0,visible,"The Alibarbar Ingot Strawberry Ice pairs sweet ripe strawberry with an icy-cool exhale — juicy, crisp, and refreshingly smooth from start to finish.","<p>The Alibarbar Ingot 9000 Puffs is a high-quality disposable vape designed for users who want reliability, flavour, and extended use in one sleek device. Offering up to 9000 puffs per unit, this disposable vape is ideal for adult users seeking a long-lasting option without the hassle of refilling or charging.</p><p>With a generous 22ml e-liquid capacity and a strong 2350mAh built-in battery, the Alibarbar Ingot provides consistent vapour production from start to finish. This non-rechargeable disposable vape is inhale-activated, making it simple and convenient to use straight out of the box. Its advanced internal design ensures smooth draws and rich flavour delivery throughout the life of the device.</p><p>Perfect for those searching for high puff disposable vapes, Alibarbar Ingot flavours, or a dependable disposable vape in Australia, the Alibarbar Ingot 9000 Puffs combines performance with a clean, modern design. Whether for everyday use or as a reliable backup device, it delivers a premium vaping experience with no complications.</p><p>Strawberry Ice wraps candy-sweet strawberry in a frosty menthol breeze — bright fruit up front, clean chill on the finish.</p><h3>What&apos;s in the box</h3><ul><li>1 × ALIBARBAR Ingot disposable vape device</li><li>Net weight: 90g</li><li>Pre-charged and inhale-activated — ready to use out of the box</li><li>Delivers up to 9000+ puffs per device</li><li>Built-in LED display for monitoring battery level and e-liquid usage</li></ul>",,,taxable,,1,999,no,0,0.09,,,,1,,,26,Disposable Vapes > Alibarbar Ingot,"Alibarbar, Ingot 9000, Iced, Strawberry Ice",,flavor-strawberry-ice.png,,,,,,,,,9
